Skills,Experience,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Salary_Expectation,Projects_Count
"Ethical Hacking, Linux",6,2,1,1,83470,2
"TensorFlow, Python, NLP, Pytorch",0,3,3,0,113643,4
"Deep Learning, Machine Learning, SQL, Python",6,4,1,2,48306,10
"Deep Learning, Python, SQL",4,2,3,2,90584,3
"SQL, Python",7,4,3,2,72691,1
"Python, NLP",7,2,1,0,68447,10
"SQL, Deep Learning, Machine Learning",1,3,3,2,44099,8
"Networking, Linux, Cybersecurity, Ethical Hacking",10,3,1,1,83474,0
"Python, NLP",8,2,2,0,89808,10
"Ethical Hacking, Linux, Networking, Cybersecurity",6,3,3,1,56426,1
"SQL, Machine Learning, Python, Deep Learning",6,2,1,2,77388,4
"Python, TensorFlow",0,3,0,0,77225,1
"SQL, Machine Learning, Deep Learning",3,4,3,2,91090,2
"Pytorch, NLP",0,2,3,0,42924,7
"Linux, Cybersecurity, Ethical Hacking",2,2,3,1,60533,2
"Networking, Ethical Hacking, Linux, Cybersecurity",4,4,3,1,52790,2
"SQL, C++, React",7,3,0,3,49907,4
"Machine Learning, SQL",5,2,1,2,108012,7
"Deep Learning, Machine Learning, SQL, Python",1,4,3,2,108185,8
"SQL, Deep Learning",4,4,3,2,97719,8
"Machine Learning, Python, Deep Learning",1,3,1,2,79404,4
"Cybersecurity, Ethical Hacking, Linux, Networking",1,2,2,1,51229,2
"Java, React, SQL, C++",4,2,1,3,88155,8
"React, SQL, Java",6,2,1,3,115386,4
"Pytorch, Python",0,2,1,0,44226,7
"Linux, Networking, Cybersecurity, Ethical Hacking",1,2,3,1,40222,10
"Deep Learning, Machine Learning",0,4,2,2,73914,1
"Python, NLP, Pytorch",1,3,2,0,113921,1
"Python, SQL",0,4,1,2,118756,9
"Cybersecurity, Networking",0,3,1,1,42077,9
"C++, SQL, React, Java",6,4,0,3,43584,9
"Python, SQL, Machine Learning",3,2,0,2,71142,4
"Python, Deep Learning, SQL, Machine Learning",9,4,3,2,45043,5
"SQL, Java, C++, React",4,3,0,3,50602,9
"SQL, Machine Learning",5,2,1,2,42998,6
"Machine Learning, Deep Learning, Python, SQL",6,3,3,2,76085,4
"Python, Machine Learning, SQL",9,4,2,2,104274,10
"Networking, Ethical Hacking",2,4,0,1,106309,7
"Pytorch, TensorFlow",3,2,0,0,58215,9
"Networking, Linux, Ethical Hacking, Cybersecurity",3,3,0,1,115553,9
"Deep Learning, SQL, Machine Learning",6,4,3,2,79100,2
"TensorFlow, NLP",7,3,1,0,45655,6
"Pytorch, TensorFlow, NLP, Python",10,2,2,0,50188,3
"Java, React, SQL, C++",1,2,3,3,107509,10
"Java, C++, SQL",10,3,3,3,53207,1
"Networking, Cybersecurity, Linux",9,2,2,1,69810,0
"Java, React",9,2,2,3,117897,0
"Linux, Networking, Ethical Hacking",10,2,3,1,91447,5
"NLP, Pytorch, TensorFlow",2,4,1,0,47573,3
"Python, NLP, Pytorch, TensorFlow",8,2,0,0,71605,3
"NLP, Pytorch, Python, TensorFlow",10,2,3,0,43594,4
"Cybersecurity, Ethical Hacking, Networking, Linux",3,4,3,1,105166,5
"C++, React, SQL",0,3,3,3,45815,7
"Pytorch, TensorFlow, Python, NLP",4,3,2,0,109802,3
"Cybersecurity, Networking, Ethical Hacking",8,4,1,1,54594,2
"SQL, Java, C++, React",9,3,3,3,76224,5
"Ethical Hacking, Linux",7,3,1,1,91922,0
"Python, Pytorch",5,3,1,0,103073,10
"React, C++",9,2,3,3,102113,6
"Pytorch, TensorFlow",0,3,0,0,99429,9
"Python, Deep Learning",2,2,0,2,83979,5
"Ethical Hacking, Networking, Linux, Cybersecurity",0,2,2,1,70943,8
"Pytorch, Python",8,2,0,0,94680,10
"Deep Learning, Machine Learning",4,2,2,2,88986,2
"C++, SQL, React",10,3,1,3,48829,5
"Networking, Linux, Ethical Hacking, Cybersecurity",10,2,2,1,61659,10
"Machine Learning, Deep Learning",6,4,0,2,117600,0
"Cybersecurity, Networking",7,3,2,1,117696,4
"Java, SQL, React, C++",10,2,1,3,69145,4
"Networking, Ethical Hacking",1,3,0,1,65217,6
"C++, SQL, React, Java",8,4,1,3,100202,5
"Linux, Ethical Hacking, Cybersecurity, Networking",8,3,3,1,76830,2
"Python, Pytorch, TensorFlow, NLP",9,3,3,0,67670,9
"NLP, Pytorch",2,2,1,0,113947,8
"Deep Learning, SQL",1,2,0,2,50848,4
"TensorFlow, NLP",2,3,3,0,99963,10
"Pytorch, TensorFlow, NLP",1,3,0,0,64694,9
"NLP, Python, Pytorch, TensorFlow",3,3,0,0,68738,6
"TensorFlow, Python, NLP, Pytorch",10,2,1,0,82119,2
"TensorFlow, Pytorch, NLP",10,3,0,0,58221,8
"Pytorch, NLP, Python",2,2,3,0,85775,5
"Python, Pytorch",3,4,1,0,43097,8
"Java, C++",4,2,1,3,104969,8
"Ethical Hacking, Cybersecurity",0,2,3,1,47079,8
"Java, React, C++",8,3,3,3,87272,2
"SQL, Python, Deep Learning, Machine Learning",10,4,3,2,119703,1
"React, C++",5,2,1,3,85526,1
"Cybersecurity, Ethical Hacking",2,3,1,1,84569,7
"C++, React, SQL, Java",2,3,3,3,96229,1
"Ethical Hacking, Linux",8,2,1,1,93214,2
"React, SQL",10,4,1,3,50166,10
"Python, Deep Learning",5,2,3,2,73559,10
"SQL, Deep Learning, Python, Machine Learning",8,2,2,2,118651,5
"Pytorch, Python, TensorFlow, NLP",9,2,0,0,114772,5
"TensorFlow, Pytorch, NLP, Python",1,2,0,0,86353,2
"SQL, Machine Learning, Python, Deep Learning",6,2,1,2,53286,5
"Python, TensorFlow, Pytorch, NLP",5,4,2,0,104955,0
"SQL, C++, Java, React",4,3,3,3,119370,3
"SQL, Java, C++",9,2,0,3,84959,6
"NLP, Pytorch, TensorFlow",9,3,1,0,67341,8
"SQL, Java, C++, React",5,3,1,3,111578,9
"React, C++",6,2,2,3,114890,7
"Networking, Cybersecurity, Ethical Hacking, Linux",1,2,0,1,86274,3
"SQL, Deep Learning, Python, Machine Learning",6,3,1,2,72143,10
"Cybersecurity, Linux, Networking, Ethical Hacking",9,4,1,1,94447,4
"Linux, Cybersecurity, Ethical Hacking",4,3,3,1,114988,5
"Networking, Ethical Hacking",3,2,2,1,45918,0
"Deep Learning, Python, Machine Learning",9,3,2,2,105724,10
"C++, React, SQL, Java",1,3,2,3,49305,9
"Networking, Linux, Ethical Hacking",0,3,1,1,47001,10
"React, C++, SQL, Java",9,4,1,3,68203,9
"NLP, Pytorch, TensorFlow",9,2,3,0,108379,10
"Ethical Hacking, Networking, Linux",1,3,2,1,57375,2
"TensorFlow, NLP, Pytorch, Python",4,3,0,0,48906,7
"Ethical Hacking, Linux, Cybersecurity",4,3,3,1,52722,9
"Networking, Linux, Ethical Hacking, Cybersecurity",2,2,1,1,108144,2
"Linux, Ethical Hacking",10,3,2,1,71601,9
"React, Java, SQL",4,3,2,3,99599,9
"Networking, Linux, Cybersecurity",1,4,2,1,48456,8
"React, SQL, Java, C++",2,3,1,3,99600,3
"Java, C++, SQL",0,2,3,3,103202,3
"Ethical Hacking, Linux, Networking, Cybersecurity",6,2,2,1,59129,5
"React, C++, Java, SQL",5,2,3,3,89191,3
"Cybersecurity, Linux, Networking, Ethical Hacking",0,3,0,1,77105,4
"Linux, Ethical Hacking, Networking",10,2,1,1,108070,1
"Ethical Hacking, Linux, Networking, Cybersecurity",7,3,3,1,107237,3
"Java, SQL, C++, React",10,3,2,3,51113,0
"NLP, Python, TensorFlow",1,4,1,0,42249,7
"Ethical Hacking, Linux, Networking",3,3,3,1,95288,3
"React, C++, Java, SQL",7,3,1,3,58910,7
"Pytorch, Python, TensorFlow, NLP",5,2,2,0,75037,10
"SQL, Machine Learning, Python, Deep Learning",2,3,0,2,58438,6
"React, SQL, Java",10,2,1,3,57933,3
"Networking, Linux",2,2,2,1,73879,2
"Machine Learning, SQL, Python",0,4,2,2,43642,7
"SQL, Java",7,3,0,3,115275,5
"Linux, Networking, Ethical Hacking, Cybersecurity",9,3,2,1,81596,3
"React, SQL, Java, C++",5,2,1,3,75828,4
"Java, SQL, React",5,3,3,3,49176,8
"Python, TensorFlow, Pytorch, NLP",6,2,3,0,78872,4
"React, Java",5,3,3,3,75717,7
"Linux, Cybersecurity",1,3,2,1,85755,3
"SQL, C++, Java, React",3,3,2,3,44121,0
"NLP, TensorFlow, Python",3,2,0,0,62695,9
"Ethical Hacking, Linux",2,3,3,1,116969,7
"Java, React",10,2,1,3,75477,6
"Deep Learning, Machine Learning, SQL, Python",8,3,0,2,51283,4
"React, SQL, Java, C++",1,4,0,3,58162,5
"TensorFlow, Pytorch, Python, NLP",7,2,0,0,55614,4
"Java, C++",8,3,0,3,71678,0
"TensorFlow, Python, Pytorch, NLP",2,4,1,0,116970,3
"Java, SQL, React, C++",9,2,2,3,108502,9
"Java, React",6,4,1,3,54170,7
"SQL, Java",3,2,3,3,63531,8
"Machine Learning, SQL, Python, Deep Learning",2,3,2,2,108247,6
"NLP, Python, Pytorch, TensorFlow",1,2,0,0,113470,4
"Python, SQL, Machine Learning, Deep Learning",4,2,0,2,65571,5
"Cybersecurity, Networking, Ethical Hacking, Linux",2,2,3,1,59121,4
"Python, NLP, Pytorch, TensorFlow",6,4,1,0,65650,3
"SQL, Machine Learning, Deep Learning",8,3,3,2,61880,8
"TensorFlow, Python",5,2,3,0,114286,6
"Machine Learning, SQL, Deep Learning",7,3,2,2,79303,6
"Machine Learning, Deep Learning, SQL, Python",2,4,0,2,80720,6
"Networking, Cybersecurity",7,2,3,1,42894,0
"NLP, Python, TensorFlow, Pytorch",2,4,1,0,72948,10
"Machine Learning, Python, SQL",6,2,1,2,116481,8
"Python, SQL, Machine Learning",9,3,1,2,112067,2
"SQL, Deep Learning, Python",0,2,2,2,93534,5
"Python, SQL, Machine Learning",0,2,0,2,112663,7
"TensorFlow, Python, NLP",10,3,3,0,95290,0
"Deep Learning, Python, SQL",2,2,1,2,119054,8
"TensorFlow, NLP, Pytorch, Python",1,4,0,0,83138,3
"Deep Learning, Machine Learning, SQL, Python",2,4,3,2,50002,1
"SQL, Java, C++, React",6,2,1,3,73268,8
"Cybersecurity, Linux, Networking, Ethical Hacking",0,3,3,1,92175,10
"Deep Learning, SQL",1,3,2,2,71365,6
"Python, Deep Learning",5,2,3,2,67218,3
"Java, React, SQL",4,4,1,3,49673,7
"Deep Learning, Python",3,3,0,2,44012,10
"Linux, Networking",6,4,3,1,85029,9
"SQL, Python, Machine Learning",4,3,0,2,95486,6
"Machine Learning, Deep Learning, Python",9,3,2,2,84443,3
"Deep Learning, Python, SQL",3,2,2,2,64716,2
"React, Java",5,2,0,3,70378,8
"Cybersecurity, Ethical Hacking, Networking, Linux",3,3,3,1,53096,7
"TensorFlow, NLP",9,2,1,0,111697,4
"Ethical Hacking, Linux",9,3,0,1,46896,8
"Pytorch, Python",8,2,0,0,116934,10
"Networking, Linux, Cybersecurity, Ethical Hacking",5,3,1,1,102150,3
"TensorFlow, Python, NLP",3,2,3,0,41769,3
"Deep Learning, SQL, Machine Learning",6,3,1,2,79795,8
"Linux, Cybersecurity",5,3,3,1,115234,10
"Python, TensorFlow, Pytorch, NLP",0,3,0,0,60579,1
"Ethical Hacking, Networking",9,2,2,1,56987,1
"Deep Learning, Python, SQL",2,4,1,2,70971,3
"Networking, Linux, Cybersecurity, Ethical Hacking",6,4,2,1,58947,8
"React, Java, C++",6,2,0,3,103874,5
"TensorFlow, NLP",6,4,0,0,64951,8
"SQL, Java, React, C++",4,3,1,3,101488,5
"Networking, Cybersecurity, Linux, Ethical Hacking",8,3,2,1,104087,4
"Linux, Cybersecurity",0,3,2,1,89654,8
"Networking, Ethical Hacking",7,3,1,1,92270,3
"C++, Java, React, SQL",1,4,3,3,116556,0
"NLP, Pytorch, TensorFlow",7,2,1,0,66221,4
"Python, SQL",4,4,3,2,84679,10
"SQL, Deep Learning",6,2,2,2,80534,6
"SQL, Machine Learning, Python",3,4,2,2,45975,10
"NLP, Pytorch, Python",0,3,3,0,40400,0
"SQL, Machine Learning, Deep Learning, Python",6,3,1,2,117621,5
"SQL, Java",1,4,0,3,74663,9
"Java, SQL, C++",8,4,3,3,59474,3
"Linux, Ethical Hacking, Networking",5,2,0,1,45733,0
"React, C++, Java",10,3,1,3,76012,1
"SQL, Machine Learning, Python",3,2,2,2,77352,3
"TensorFlow, NLP, Python, Pytorch",6,3,1,0,115539,9
"Ethical Hacking, Cybersecurity",5,4,2,1,92506,5
"Machine Learning, Deep Learning",7,2,0,2,43930,8
"Cybersecurity, Linux, Ethical Hacking",1,2,0,1,74376,9
"Python, NLP, Pytorch, TensorFlow",5,2,1,0,48234,9
"Pytorch, TensorFlow, NLP",8,2,0,0,80736,2
"Machine Learning, Python, SQL",2,2,3,2,44219,4
"C++, React, Java",10,2,2,3,117566,8
"Ethical Hacking, Linux, Cybersecurity, Networking",6,2,1,1,85255,10
"Ethical Hacking, Cybersecurity",0,3,0,1,68407,4
"SQL, Machine Learning",0,2,0,2,90362,8
"Linux, Ethical Hacking, Cybersecurity",4,4,0,1,96836,1
"Cybersecurity, Networking, Linux, Ethical Hacking",10,2,2,1,47957,5
"Networking, Cybersecurity, Ethical Hacking",8,3,3,1,65748,4
"Pytorch, TensorFlow, Python",2,4,3,0,85955,1
"Python, Pytorch",5,3,0,0,101270,7
"TensorFlow, NLP, Python",9,3,2,0,57419,7
"Linux, Cybersecurity, Ethical Hacking, Networking",2,2,0,1,59397,10
"Python, TensorFlow, Pytorch, NLP",9,3,2,0,99238,1
"Ethical Hacking, Networking, Linux",1,2,3,1,58606,10
"TensorFlow, Pytorch",6,3,1,0,53035,10
"React, Java",2,3,0,3,113130,8
"SQL, Java",5,2,0,3,72756,4
"SQL, Machine Learning, Deep Learning, Python",5,4,0,2,91828,10
"C++, React",7,4,3,3,113418,1
"SQL, Java, React, C++",0,3,3,3,70344,4
"Python, Machine Learning",9,2,2,2,83152,2
"SQL, React, Java, C++",9,3,2,3,95141,7
"TensorFlow, Python",2,4,1,0,73596,9
"Python, Machine Learning",0,3,1,2,61332,0
"C++, SQL, Java",7,2,3,3,115535,5
"Ethical Hacking, Cybersecurity, Networking, Linux",5,2,0,1,104149,9
"Deep Learning, Python",5,3,0,2,100800,3
"Networking, Linux, Cybersecurity, Ethical Hacking",7,2,0,1,103102,2
"Linux, Ethical Hacking",10,3,1,1,50784,0
"C++, Java",0,2,3,3,89148,8
"Pytorch, Python, TensorFlow",5,3,0,0,77117,6
"Networking, Cybersecurity, Ethical Hacking, Linux",7,2,1,1,100153,6
"NLP, Pytorch",0,2,1,0,87556,10
"Pytorch, NLP, Python",3,3,0,0,76100,6
"React, Java",3,2,3,3,44106,0
"NLP, TensorFlow, Pytorch",3,3,3,0,115568,10
"TensorFlow, NLP, Python",0,3,0,0,40085,2
"Deep Learning, Machine Learning, SQL, Python",1,3,1,2,79991,10
"Deep Learning, SQL, Machine Learning",3,2,3,2,94832,3
"SQL, Deep Learning, Python",5,3,1,2,46669,5
"Java, SQL",5,2,2,3,81801,1
"Ethical Hacking, Linux",6,2,0,1,113676,9
"Linux, Cybersecurity, Ethical Hacking",7,2,3,1,41678,8
"NLP, TensorFlow, Pytorch",3,3,0,0,112201,6
"Ethical Hacking, Cybersecurity, Linux",9,3,3,1,55058,3
"SQL, Machine Learning, Python, Deep Learning",4,2,1,2,73783,3
"NLP, TensorFlow, Python",0,3,1,0,65417,3
"NLP, TensorFlow, Pytorch, Python",6,2,2,0,75755,0
"Cybersecurity, Networking",1,4,2,1,51388,6
"Pytorch, TensorFlow",2,3,0,0,65012,6
"SQL, Python, Machine Learning, Deep Learning",3,3,2,2,65930,5
"Java, React, C++, SQL",3,2,2,3,63179,9
"Deep Learning, Machine Learning, Python",3,3,0,2,71310,1
"C++, React, SQL",9,4,2,3,113497,5
"Machine Learning, Python, SQL",2,3,1,2,84205,4
"TensorFlow, Pytorch",5,3,1,0,82093,9
"Ethical Hacking, Cybersecurity",3,2,1,1,76203,2
"Networking, Linux",10,4,3,1,82245,2
"Linux, Cybersecurity, Ethical Hacking",8,2,1,1,59707,8
"Python, Deep Learning, SQL, Machine Learning",9,3,3,2,93197,0
"Machine Learning, Deep Learning, SQL",7,3,1,2,78218,10
"C++, SQL",5,3,2,3,106464,5
"Machine Learning, SQL, Python",10,4,3,2,95170,6
"Python, TensorFlow, NLP",1,3,0,0,52956,8
"Python, TensorFlow",6,2,2,0,116788,2
"React, SQL, C++, Java",8,2,3,3,93647,10
"Deep Learning, SQL, Python, Machine Learning",8,3,0,2,100345,0
"Networking, Ethical Hacking",0,4,1,1,63561,5
"SQL, C++, Java",1,3,3,3,48157,5
"Cybersecurity, Linux, Ethical Hacking",0,2,3,1,114364,9
"Cybersecurity, Networking, Linux",8,4,1,1,107124,2
"Linux, Cybersecurity, Networking, Ethical Hacking",6,2,0,1,109463,6
"Java, C++, React, SQL",6,2,1,3,58157,4
"SQL, Java",7,3,0,3,48252,4
"Cybersecurity, Ethical Hacking, Linux",7,3,0,1,63157,4
"Pytorch, NLP, TensorFlow",7,2,1,0,106421,2
"C++, SQL, Java",5,2,2,3,97505,7
"Cybersecurity, Ethical Hacking, Networking, Linux",1,3,1,1,102390,6
"React, C++, Java, SQL",0,3,0,3,80517,8
"Deep Learning, Python",6,3,1,2,53984,7
"NLP, Pytorch, TensorFlow",6,3,1,0,64149,0
"Java, SQL",3,2,1,3,89716,1
"Java, C++, SQL, React",7,2,2,3,115954,9
"Networking, Cybersecurity",1,4,3,1,100697,9
"Python, Deep Learning, Machine Learning",5,3,3,2,94342,10
"Java, SQL, C++, React",3,2,1,3,67414,0
"Python, TensorFlow",3,2,0,0,70067,3
"React, SQL",9,2,0,3,50001,6
"Cybersecurity, Ethical Hacking, Linux",7,3,0,1,64888,5
"Python, Deep Learning",7,2,3,2,104891,2
"Python, SQL",0,2,2,2,76195,10
"React, SQL, C++, Java",0,2,2,3,118032,2
"Linux, Cybersecurity, Networking",2,2,0,1,54759,1
"C++, SQL",5,3,2,3,41530,0
"TensorFlow, Pytorch",5,4,0,0,79405,4
"Cybersecurity, Networking",4,4,3,1,87051,0
"NLP, Pytorch, TensorFlow",6,2,1,0,72164,4
"Python, NLP",7,3,2,0,80936,3
"React, SQL, Java",1,2,2,3,105524,9
"Networking, Linux",2,2,3,1,64118,0
"Machine Learning, Deep Learning, SQL",0,2,0,2,63564,6
"Ethical Hacking, Cybersecurity, Linux",1,2,1,1,117772,2
"Python, SQL, Deep Learning",10,2,3,2,92689,8
"Pytorch, NLP",1,3,3,0,105641,2
"SQL, Java, C++, React",0,2,0,3,53699,8
"SQL, Python, Deep Learning, Machine Learning",2,2,2,2,69741,10
"Networking, Cybersecurity, Ethical Hacking, Linux",0,4,0,1,62201,5
"Linux, Ethical Hacking, Networking, Cybersecurity",6,2,0,1,59082,5
"C++, Java, SQL",3,4,1,3,98746,4
"SQL, Machine Learning, Deep Learning, Python",8,3,2,2,109019,8
"Machine Learning, SQL, Python",10,2,1,2,53167,9
"Deep Learning, Python, SQL, Machine Learning",3,2,0,2,113134,5
"TensorFlow, NLP, Python",4,3,0,0,72225,6
"Python, Machine Learning, Deep Learning",8,2,1,2,100425,0
"SQL, Python",8,3,1,2,75286,10
"Networking, Ethical Hacking, Cybersecurity, Linux",2,3,3,1,60745,0
"Cybersecurity, Ethical Hacking, Networking",0,2,3,1,82635,7
"Python, SQL, Machine Learning",3,3,1,2,59564,2
"SQL, C++, Java",4,2,1,3,50410,10
"Pytorch, TensorFlow",9,4,2,0,59856,2
"Ethical Hacking, Linux",2,3,3,1,115687,7
"Python, Deep Learning",8,4,3,2,69641,10
"Machine Learning, Deep Learning, SQL",4,3,0,2,107045,8
"Deep Learning, Python, SQL",2,2,1,2,99578,0
"Cybersecurity, Linux",8,2,2,1,90950,10
"React, SQL, C++",3,2,2,3,100722,5
"Ethical Hacking, Linux, Networking, Cybersecurity",3,4,3,1,106073,4
"Cybersecurity, Ethical Hacking, Linux, Networking",7,4,3,1,62406,1
"Deep Learning, Python, Machine Learning, SQL",2,2,3,2,84282,6
"Pytorch, TensorFlow",9,2,2,0,61090,7
"Pytorch, Python, TensorFlow, NLP",9,3,2,0,47919,4
"SQL, Java",8,2,0,3,83833,8
"Cybersecurity, Ethical Hacking, Networking",6,3,2,1,108922,10
"React, SQL",4,4,3,3,108770,10
"NLP, Pytorch, Python",4,4,2,0,45733,9
"TensorFlow, NLP, Python, Pytorch",8,3,2,0,100399,7
"Python, TensorFlow, Pytorch",0,3,3,0,75275,1
"Java, React, C++, SQL",5,3,2,3,87525,1
"Deep Learning, Python, SQL, Machine Learning",1,4,0,2,84131,3
"Machine Learning, Python, SQL, Deep Learning",6,3,0,2,116163,2
"Networking, Linux",3,3,3,1,97811,6
"Ethical Hacking, Linux, Cybersecurity",5,3,1,1,53855,8
"Machine Learning, Python, SQL",0,3,2,2,116814,5
"Networking, Ethical Hacking, Cybersecurity",8,3,3,1,44474,1
"Networking, Linux",3,3,1,1,102962,7
"SQL, Deep Learning, Python",9,2,2,2,96487,0
"Networking, Ethical Hacking",1,4,2,1,117535,8
"SQL, Java, C++, React",5,2,3,3,57546,4
