Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"React, SQL, Java",6,B.Tech,Deep Learning Specialization,Software Engineer,115386,4,100.0,Hire,2,1,3,1,0.9819,1,Hire,50
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,114879,8,98.4,Hire,3,2,2,3,0.9819,1,Hire,50
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,115275,5,99.7,Hire,3,0,3,2,0.9819,1,Hire,50
"React, C++",6,B.Tech,Google ML,Software Engineer,114890,7,86.3,Hire,2,2,3,1,0.9819,1,Hire,50
"Networking, Ethical Hacking, Linux, Cybersecurity",3,PhD,Google ML,Cybersecurity Analyst,115708,9,100.0,Hire,4,2,1,4,0.9819,1,Hire,50
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,115051,2,99.9,Hire,3,1,3,2,0.9819,1,Hire,50
"Ethical Hacking, Linux",2,M.Tech,,Cybersecurity Analyst,115687,7,74.4,Hire,3,3,1,2,0.9819,1,Hire,50
"Linux, Cybersecurity, Ethical Hacking",4,M.Tech,,Cybersecurity Analyst,114988,5,71.9,Hire,3,3,1,2,0.9819,1,Hire,50
"Networking, Linux, Ethical Hacking, Cybersecurity",3,M.Tech,AWS Certified,Cybersecurity Analyst,115553,9,100.0,Hire,3,0,1,2,0.9819,1,Hire,50
"Pytorch, Python, TensorFlow, NLP",9,B.Sc,AWS Certified,AI Researcher,114772,5,100.0,Hire,2,0,0,0,0.9819,1,Hire,50
"TensorFlow, NLP, Python, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,115539,9,98.8,Hire,3,1,0,2,0.9819,1,Hire,50
"C++, SQL, Java",7,B.Sc,,Software Engineer,115535,5,98.7,Hire,2,3,3,0,0.9819,1,Hire,50
"SQL, Python",10,PhD,,Data Scientist,115364,2,100.0,Hire,4,3,2,4,0.9819,1,Hire,50
"NLP, TensorFlow, Pytorch",3,M.Tech,,AI Researcher,115568,10,92.5,Hire,3,3,0,2,0.9819,1,Hire,50
"Linux, Networking, Cybersecurity, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,114989,9,98.4,Hire,3,0,1,3,0.9819,1,Hire,50
"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,110523,4,75.5,Hire,3,0,2,3,0.9815,1,Hire,66
"Python, Deep Learning, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,110499,9,97.7,Hire,2,1,2,1,0.9815,1,Hire,66
"Linux, Ethical Hacking",4,B.Tech,,Cybersecurity Analyst,110442,7,89.4,Hire,2,3,1,1,0.9815,1,Hire,66
"Java, C++, SQL, React",7,B.Sc,Google ML,Software Engineer,115954,9,100.0,Hire,2,2,3,0,0.9802,1,Hire,69
"Deep Learning, Python, SQL, Machine Learning",8,MBA,,Data Scientist,115812,5,100.0,Hire,3,3,2,3,0.9802,1,Hire,69
"Machine Learning, Python, SQL, Deep Learning",6,M.Tech,AWS Certified,Data Scientist,116163,2,97.8,Hire,3,0,2,2,0.9802,1,Hire,69
"React, Java, C++",5,B.Tech,Google ML,Software Engineer,115813,0,70.2,Hire,2,2,3,1,0.9802,1,Hire,69
"Linux, Networking",4,M.Tech,,Cybersecurity Analyst,116278,0,51.9,Hire,3,3,1,2,0.9794,1,Hire,73
"Ethical Hacking, Linux, Cybersecurity, Networking",7,MBA,,Cybersecurity Analyst,116460,10,98.8,Hire,3,3,1,3,0.9794,1,Hire,73
"Deep Learning, Machine Learning, Python, SQL",10,PhD,,Data Scientist,116205,7,100.0,Hire,4,3,2,4,0.9794,1,Hire,73
"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,82004,2,91.4,Reject,2,2,2,0,0.979,1,Hire,76
"Java, React",6,PhD,Google ML,Software Engineer,80278,4,100.0,Hire,4,2,3,4,0.979,1,Hire,76
"SQL, Java, C++",1,M.Tech,Deep Learning Specialization,Software Engineer,82007,10,84.6,Hire,3,1,3,2,0.979,1,Hire,76
"Python, NLP",0,PhD,Deep Learning Specialization,AI Researcher,81970,10,67.1,Hire,4,1,0,4,0.979,1,Hire,76
"C++, Java, React, SQL",9,MBA,AWS Certified,Software Engineer,81897,4,97.0,Hire,3,0,3,3,0.979,1,Hire,76
"Machine Learning, Deep Learning, SQL, Python",2,PhD,AWS Certified,Data Scientist,80720,6,76.8,Hire,4,0,2,4,0.979,1,Hire,76
"Java, SQL",5,B.Tech,Google ML,Software Engineer,81801,1,68.0,Hire,2,2,3,1,0.979,1,Hire,76
"TensorFlow, Pytorch",5,M.Tech,Deep Learning Specialization,AI Researcher,82093,9,100.0,Hire,3,1,0,2,0.979,1,Hire,76
"SQL, Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,81778,4,100.0,Hire,2,1,3,0,0.979,1,Hire,76
"SQL, Deep Learning",6,B.Tech,Google ML,Data Scientist,80534,6,93.3,Hire,2,2,2,1,0.979,1,Hire,76
"Python, NLP",7,M.Tech,Google ML,AI Researcher,80936,3,100.0,Hire,3,2,0,2,0.979,1,Hire,76
"Linux, Networking, Ethical Hacking, Cybersecurity",9,M.Tech,Google ML,Cybersecurity Analyst,81596,3,97.6,Hire,3,2,1,2,0.979,1,Hire,76
"C++, SQL, Java",6,PhD,AWS Certified,Software Engineer,80373,8,100.0,Hire,4,0,3,4,0.979,1,Hire,76
"SQL, React, Java",0,M.Tech,,Software Engineer,81417,0,8.1,Reject,3,3,3,2,0.979,1,Hire,76
"TensorFlow, NLP, Python",3,MBA,Deep Learning Specialization,AI Researcher,80393,10,100.0,Hire,3,1,0,3,0.979,1,Hire,76
"Pytorch, TensorFlow",3,MBA,,AI Researcher,81415,7,73.2,Hire,3,3,0,3,0.979,1,Hire,76
"React, C++, Java, SQL",0,M.Tech,AWS Certified,Software Engineer,80517,8,77.5,Hire,3,0,3,2,0.979,1,Hire,76
"Networking, Ethical Hacking, Linux, Cybersecurity",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,80779,5,93.8,Hire,2,1,1,1,0.979,1,Hire,76
"Python, SQL, Deep Learning",2,PhD,AWS Certified,Data Scientist,82119,8,85.5,Hire,4,0,2,4,0.979,1,Hire,76
"Machine Learning, Python, Deep Learning",3,M.Tech,,Data Scientist,81656,7,83.2,Hire,3,3,2,2,0.979,1,Hire,76
"TensorFlow, Python, NLP, Pytorch",10,B.Sc,Deep Learning Specialization,AI Researcher,82119,2,100.0,Hire,2,1,0,0,0.979,1,Hire,76
"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,80647,8,81.1,Hire,2,1,1,1,0.979,1,Hire,76
"SQL, Java, React",2,B.Tech,,Software Engineer,82150,4,44.9,Hire,2,3,3,1,0.979,1,Hire,76
"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,80736,2,90.4,Hire,2,0,0,1,0.979,1,Hire,76
"Python, NLP, Pytorch",2,PhD,AWS Certified,AI Researcher,80377,1,51.8,Hire,4,0,0,4,0.979,1,Hire,76
"Python, Deep Learning, SQL, Machine Learning",2,M.Tech,,Data Scientist,82012,7,72.3,Reject,3,3,2,2,0.979,1,Hire,76
"Cybersecurity, Linux, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,81422,10,94.2,Hire,3,1,1,3,0.979,1,Hire,76
"Networking, Linux",10,PhD,,Cybersecurity Analyst,82245,2,100.0,Hire,4,3,1,4,0.979,1,Hire,76
"Pytorch, TensorFlow, Python",8,M.Tech,,AI Researcher,82202,5,100.0,Hire,3,3,0,2,0.979,1,Hire,76
"Python, SQL",1,MBA,Deep Learning Specialization,Data Scientist,112556,7,59.5,Hire,3,1,2,3,0.9769,1,Hire,105
"SQL, Python, Machine Learning, Deep Learning",6,M.Tech,Deep Learning Specialization,Data Scientist,112595,7,97.2,Hire,3,1,2,2,0.9769,1,Hire,105
"SQL, Machine Learning",3,PhD,Deep Learning Specialization,Data Scientist,112466,9,88.0,Hire,4,1,2,4,0.9769,1,Hire,105
"Python, Machine Learning, Deep Learning, SQL",7,M.Tech,Google ML,Data Scientist,112572,5,100.0,Hire,3,2,2,2,0.9769,1,Hire,105
"C++, SQL",8,B.Sc,Google ML,Software Engineer,112514,8,95.9,Hire,2,2,3,0,0.9769,1,Hire,105
"Machine Learning, SQL, Python",4,B.Sc,Google ML,Data Scientist,114573,8,97.6,Hire,2,2,2,0,0.9763,1,Hire,110
"Cybersecurity, Networking, Linux, Ethical Hacking",10,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,114697,9,100.0,Hire,3,1,1,2,0.9763,1,Hire,110
"TensorFlow, Python",5,B.Sc,,AI Researcher,114286,6,90.3,Hire,2,3,0,0,0.9763,1,Hire,110
"SQL, Machine Learning, Deep Learning",9,B.Tech,,Data Scientist,114686,0,100.0,Hire,2,3,2,1,0.9763,1,Hire,110
"Linux, Cybersecurity, Ethical Hacking",8,MBA,Deep Learning Specialization,Cybersecurity Analyst,114489,9,86.7,Hire,3,1,1,3,0.9763,1,Hire,110
"Python, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,114745,6,45.4,Hire,3,1,2,2,0.9763,1,Hire,110
"Cybersecurity, Linux, Ethical Hacking",0,B.Sc,,Cybersecurity Analyst,114364,9,60.3,Hire,2,3,1,0,0.9763,1,Hire,110
"TensorFlow, Python, NLP",6,PhD,Deep Learning Specialization,AI Researcher,112672,2,88.7,Hire,4,1,0,4,0.9744,1,Hire,117
"React, Java",2,MBA,AWS Certified,Software Engineer,113130,8,73.7,Hire,3,0,3,3,0.9744,1,Hire,117
"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,113002,1,100.0,Hire,3,2,2,3,0.9744,1,Hire,117
"Python, SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,112663,7,53.1,Hire,2,0,2,1,0.9744,1,Hire,117
"Networking, Cybersecurity, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,113331,8,100.0,Hire,3,2,1,2,0.9732,1,Hire,121
"Java, SQL, C++",9,B.Tech,Google ML,Software Engineer,113365,8,100.0,Hire,2,2,3,1,0.9732,1,Hire,121
"SQL, Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,113251,8,100.0,Hire,2,1,3,1,0.9732,1,Hire,121
"Deep Learning, Python, SQL, Machine Learning",3,B.Sc,AWS Certified,Data Scientist,113134,5,73.9,Hire,2,0,2,0,0.9732,1,Hire,121
"SQL, C++, Java",6,B.Sc,,Software Engineer,113366,4,100.0,Hire,2,3,3,0,0.9732,1,Hire,121
"Machine Learning, Deep Learning, Python",3,B.Sc,AWS Certified,Data Scientist,79930,9,100.0,Hire,2,0,2,0,0.9713,1,Hire,126
"Deep Learning, SQL, Machine Learning",6,MBA,Deep Learning Specialization,Data Scientist,79795,8,92.2,Hire,3,1,2,3,0.9713,1,Hire,126
"Deep Learning, Machine Learning, SQL, Python",1,M.Tech,Deep Learning Specialization,Data Scientist,79991,10,85.2,Hire,3,1,2,2,0.9713,1,Hire,126
"Cybersecurity, Ethical Hacking, Linux, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,80085,10,93.3,Hire,3,1,1,3,0.9713,1,Hire,126
"Linux, Networking, Ethical Hacking",7,B.Sc,,Cybersecurity Analyst,79874,6,100.0,Hire,2,3,1,0,0.9713,1,Hire,126
"Networking, Cybersecurity",3,PhD,,Cybersecurity Analyst,93508,4,62.9,Hire,4,3,1,4,0.9676,1,Hire,131
"Ethical Hacking, Networking, Linux, Cybersecurity",0,B.Tech,,Cybersecurity Analyst,93079,2,26.4,Hire,2,3,1,1,0.9676,1,Hire,131
"Ethical Hacking, Linux",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,93214,2,97.2,Hire,2,1,1,1,0.9676,1,Hire,131
"SQL, Deep Learning, Python",0,B.Tech,Google ML,Data Scientist,93534,5,50.4,Hire,2,2,2,1,0.9676,1,Hire,131
"Python, Deep Learning, SQL, Machine Learning",9,MBA,,Data Scientist,93197,0,95.5,Hire,3,3,2,3,0.9676,1,Hire,131
"Machine Learning, Python, Deep Learning",9,B.Tech,,Data Scientist,93707,0,100.0,Hire,2,3,2,1,0.9676,1,Hire,131
"Networking, Cybersecurity, Linux, Ethical Hacking",5,B.Sc,,Cybersecurity Analyst,93770,7,100.0,Hire,2,3,1,0,0.9676,1,Hire,131
"React, SQL, C++, Java",8,B.Sc,,Software Engineer,93647,10,100.0,Hire,2,3,3,0,0.9676,1,Hire,131
"Networking, Linux, Ethical Hacking, Cybersecurity",7,PhD,,Cybersecurity Analyst,92893,7,92.9,Hire,4,3,1,4,0.9676,1,Hire,131
"Ethical Hacking, Cybersecurity, Networking, Linux",3,MBA,Google ML,Cybersecurity Analyst,93303,1,70.3,Hire,3,2,1,3,0.9676,1,Hire,131
"Networking, Ethical Hacking, Cybersecurity",10,B.Sc,Google ML,Cybersecurity Analyst,92197,5,100.0,Hire,2,2,1,0,0.9648,1,Hire,141
"Java, React, SQL",4,PhD,AWS Certified,Software Engineer,92781,0,66.2,Reject,4,0,3,4,0.9648,1,Hire,141
"Cybersecurity, Linux, Networking, Ethical Hacking",0,MBA,,Cybersecurity Analyst,92175,10,65.1,Hire,3,3,1,3,0.9648,1,Hire,141
"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,92270,3,100.0,Hire,3,1,1,3,0.9648,1,Hire,141
"Ethical Hacking, Cybersecurity",5,PhD,Google ML,Cybersecurity Analyst,92506,5,96.1,Hire,4,2,1,4,0.9648,1,Hire,141
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,,Data Scientist,92538,1,76.8,Hire,2,3,2,1,0.9648,1,Hire,141
"Python, SQL, Deep Learning",10,B.Tech,,Data Scientist,92689,8,100.0,Hire,2,3,2,1,0.9648,1,Hire,141
"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,92104,6,92.7,Hire,4,0,0,4,0.9633,1,Hire,148
"Cybersecurity, Linux",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,92129,3,100.0,Hire,2,1,1,1,0.9633,1,Hire,148
"Networking, Cybersecurity, Ethical Hacking, Linux",4,M.Tech,Google ML,Cybersecurity Analyst,91996,8,100.0,Hire,3,2,1,2,0.9633,1,Hire,148
"React, Java, SQL, C++",8,B.Sc,AWS Certified,Software Engineer,73325,2,99.4,Hire,2,0,3,0,0.9623,1,Hire,151
"SQL, Python",7,PhD,,Data Scientist,72691,1,77.0,Hire,4,3,2,4,0.9623,1,Hire,151
"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,72756,4,83.0,Hire,2,0,3,0,0.9623,1,Hire,151
"TensorFlow, NLP, Python",4,MBA,AWS Certified,AI Researcher,72225,6,86.7,Hire,3,0,0,3,0.9623,1,Hire,151
"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,,Data Scientist,72780,9,100.0,Hire,2,3,2,0,0.9623,1,Hire,151
"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,72948,10,100.0,Hire,4,1,0,4,0.9623,1,Hire,151
"Linux, Networking, Cybersecurity",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,73851,6,100.0,Hire,3,1,1,3,0.9623,1,Hire,151
"Pytorch, TensorFlow",8,B.Sc,Deep Learning Specialization,AI Researcher,73142,9,100.0,Hire,2,1,0,0,0.9623,1,Hire,151
"Python, Deep Learning",5,B.Tech,,Data Scientist,73559,10,92.2,Hire,2,3,2,1,0.9623,1,Hire,151
"Java, React, C++",10,M.Tech,,Software Engineer,74425,5,92.3,Hire,3,3,3,2,0.9623,1,Hire,151
"Machine Learning, Python, SQL, Deep Learning",9,M.Tech,,Data Scientist,74018,10,93.1,Reject,3,3,2,2,0.9623,1,Hire,151
"Cybersecurity, Ethical Hacking, Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,72178,3,66.2,Hire,2,2,1,0,0.9623,1,Hire,151
"Cybersecurity, Networking, Ethical Hacking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,74090,3,100.0,Hire,2,0,1,1,0.9623,1,Hire,151
"TensorFlow, Python, NLP",7,B.Sc,Deep Learning Specialization,AI Researcher,74451,9,100.0,Hire,2,1,0,0,0.9623,1,Hire,151
"Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,73879,2,50.1,Hire,2,2,1,0,0.9623,1,Hire,151
"Pytorch, Python",4,B.Sc,AWS Certified,AI Researcher,72233,9,94.2,Hire,2,0,0,0,0.9623,1,Hire,151
"TensorFlow, Python",2,PhD,Deep Learning Specialization,AI Researcher,73596,9,88.9,Hire,4,1,0,4,0.9623,1,Hire,151
"Networking, Ethical Hacking, Cybersecurity, Linux",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,73181,5,98.7,Hire,3,1,1,3,0.9623,1,Hire,151
"SQL, Machine Learning, Python, Deep Learning",4,B.Sc,Deep Learning Specialization,Data Scientist,73783,3,81.6,Hire,2,1,2,0,0.9623,1,Hire,151
"SQL, Java",1,PhD,AWS Certified,Software Engineer,74663,9,75.5,Hire,4,0,3,4,0.9623,1,Hire,151
"SQL, Java, C++, React",6,B.Sc,Deep Learning Specialization,Software Engineer,73268,8,99.7,Hire,2,1,3,0,0.9623,1,Hire,151
"Deep Learning, Machine Learning",0,PhD,Google ML,Data Scientist,73914,1,29.7,Hire,4,2,2,4,0.9623,1,Hire,151
"Cybersecurity, Linux, Ethical Hacking",1,B.Tech,AWS Certified,Cybersecurity Analyst,74376,9,82.9,Hire,2,0,1,1,0.9623,1,Hire,151
"Python, TensorFlow, NLP, Pytorch",5,M.Tech,,AI Researcher,74282,7,90.0,Hire,3,3,0,2,0.9623,1,Hire,151
"Python, Deep Learning, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,72251,6,50.5,Reject,2,0,2,1,0.9623,1,Hire,151
"TensorFlow, NLP, Pytorch, Python",8,M.Tech,Google ML,AI Researcher,53090,6,92.8,Hire,3,2,0,2,0.9555,1,Hire,176
"Java, C++, SQL",10,MBA,,Software Engineer,53207,1,97.3,Hire,3,3,3,3,0.9555,1,Hire,176
"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,53165,8,98.3,Hire,3,0,1,2,0.9555,1,Hire,176
"SQL, Java, C++, React",0,B.Tech,AWS Certified,Software Engineer,53699,8,71.4,Hire,2,0,3,1,0.9555,1,Hire,176
"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Deep Learning Specialization,Data Scientist,53286,5,100.0,Hire,2,1,2,0,0.9555,1,Hire,176
"TensorFlow, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,53035,10,97.3,Hire,3,1,0,2,0.9555,1,Hire,176
"C++, Java, React",4,MBA,Google ML,Software Engineer,53412,0,58.6,Hire,3,2,3,3,0.9555,1,Hire,176
"Pytorch, Python, TensorFlow",7,B.Sc,,AI Researcher,53796,3,99.3,Hire,2,3,0,0,0.9555,1,Hire,176
"Java, C++",3,PhD,Deep Learning Specialization,Software Engineer,53518,7,77.4,Hire,4,1,3,4,0.9555,1,Hire,176
"Cybersecurity, Ethical Hacking, Networking, Linux",3,MBA,,Cybersecurity Analyst,53096,7,93.0,Hire,3,3,1,3,0.9555,1,Hire,176
"Ethical Hacking, Linux, Cybersecurity",5,MBA,Deep Learning Specialization,Cybersecurity Analyst,53855,8,91.0,Hire,3,1,1,3,0.9555,1,Hire,176
"Pytorch, TensorFlow, NLP, Python",5,MBA,AWS Certified,AI Researcher,53097,0,86.1,Hire,3,0,0,3,0.9555,1,Hire,176
"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,53167,9,100.0,Hire,2,1,2,1,0.9555,1,Hire,176
"Cybersecurity, Networking, Linux, Ethical Hacking",6,B.Sc,,Cybersecurity Analyst,102518,7,100.0,Hire,2,3,1,0,0.9496,1,Hire,189
"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,102929,10,95.2,Hire,3,0,1,2,0.9496,1,Hire,189
